GEOID,year,median_income_hh,median_house_value,pct_single_father,pct_single_mother,fertility,pct_bachelors,pct_born_us,pct_only_speaks_english
11001000100,2010,109947,1000000,2.1,1.8,63,32.6,77.3,78.1
11001000201,2010,NA,NA,NA,NA,0,3.6,89,79.2
11001000202,2010,120114,1000000,0,1.1,5,40.1,84.4,84.2
11001000300,2010,101250,814100,1.5,3,14,35.2,85.8,84.4
11001000400,2010,158580,991100,0,1.4,47,35.1,73.5,70.3
11001000501,2010,87415,644600,0,0.6,16,40.6,85.5,85.7
11001000502,2010,95694,836800,0,2.4,20,34.7,78.5,79.1
11001000600,2010,115648,1000000,0,3.5,46,24.8,84.4,82
11001000701,2010,79649,366900,0,1.5,31,35.3,80.8,82
11001000702,2010,63794,320800,0,1.1,12,34.1,72.1,73.8
11001000801,2010,114732,688000,1.9,2.7,95,32,71,75.9
11001000802,2010,92000,791500,0.8,0.5,29,36.6,78.2,77.5
11001000901,2010,213889,1000000,0,0.8,6,30.7,84.2,80.8
11001000902,2010,163750,933800,0,0,47,45.2,76.2,80.5
11001001001,2010,142697,832100,1,2.4,68,27.3,83.2,81
11001001002,2010,85543,455700,0,0.4,8,17.5,75.1,83.9
11001001100,2010,141607,793800,0,5.4,46,28.3,85.8,79.7
11001001200,2010,93785,717400,0.9,0.9,33,30.1,76.5,73.8
11001001301,2010,88981,1000000,0,0,48,23.4,72.3,78.5
11001001302,2010,78961,423500,0.9,0,28,32.9,80.2,79
11001001401,2010,109609,930100,1.5,2.3,25,28.4,84.1,84.3
11001001402,2010,100750,732300,0.8,0,39,26.2,76.8,80.9
11001001500,2010,179125,863800,0.9,1.8,153,25.3,89.4,88
11001001600,2010,133824,700200,4,1.1,28,25.6,92.3,83.5
11001001702,2010,91989,412900,0,3.5,33,20.2,78.6,74.7
11001001803,2010,35350,457500,1,4.1,61,16.9,48.9,53
11001001804,2010,40281,447900,2,9.6,96,16.5,61.9,65.9
11001001901,2010,48073,416100,0,11.9,41,21.6,85.6,83.7
11001001902,2010,72273,435300,2.9,9.2,32,24.2,84.6,90.1
11001002001,2010,43478,651100,2.3,0.4,0,21.2,79.9,81.4
11001002002,2010,53373,632800,0,7.7,183,19.7,73.6,73.5
11001002101,2010,41886,351800,0,11.9,17,9.4,73.2,69.7
11001002102,2010,42522,399500,0,10.9,129,18,77.6,75.6
11001002201,2010,70541,424700,2.7,7.4,23,12.8,80,73.5
11001002202,2010,42283,325100,4.5,9.6,32,17,85.1,86.8
11001002301,2010,61500,373700,6.2,7.9,67,13.9,86.2,88.2
11001002302,2010,43342,346000,0.5,3.6,0,16.7,96.6,83.4
11001002400,2010,60082,436700,0,7.9,38,17.6,85.8,89
11001002501,2010,48750,588200,1.7,7.6,82,16.7,73.3,69.3
11001002502,2010,42199,459300,0,6.3,96,17.7,60.8,60.4
11001002600,2010,144141,886800,1.5,3.5,126,27.6,83.2,80
11001002701,2010,58617,593900,2.1,5.6,40,25.7,65,72.4
11001002702,2010,95490,787500,1.1,3.6,21,28.9,73.2,71.8
11001002801,2010,43661,476500,2.1,6.6,61,19.8,59.6,65.7
11001002802,2010,41453,341300,1.1,6.4,20,13.2,54.1,68.4
11001002900,2010,56000,515400,0,9.2,66,17.7,68.8,73.1
11001003000,2010,52228,649000,1.8,10.6,19,26.2,83.9,84.8
11001003100,2010,69063,405600,1.4,12.2,94,16.8,65.9,64.8
11001003200,2010,50665,377100,3.6,7,55,18.6,79.1,77.1
11001003301,2010,83285,561200,0.8,5.6,26,22.1,97.9,98.6
11001003302,2010,80039,538800,0,11.2,22,29,77.3,82.3
11001003400,2010,30603,462700,1.5,5.6,15,32,90.4,84.1
11001003500,2010,41136,417900,5,8.8,0,17.4,82.4,80.7
11001003600,2010,46034,519700,4.4,9,59,22.4,81.9,83.2
11001003700,2010,52292,414000,4.3,15.1,33,23.9,78.7,84.1
11001003800,2010,76121,596300,0,1.8,30,33.4,70.4,71.6
11001003900,2010,72466,383500,1.7,0.8,71,41.2,75.2,73.7
11001004001,2010,100439,514300,0.7,0.7,15,39.5,83.1,84.9
11001004002,2010,85368,579500,0,0,27,41.1,84.3,81.5
11001004100,2010,97500,1000000,0,0.9,12,33.2,74.6,72.5
11001004201,2010,86406,465000,0,2.8,0,34.9,78.3,75.9
11001004202,2010,83588,546600,0,0,16,41.2,85.3,83.7
11001004300,2010,51016,765400,0.8,1.3,23,28.1,82.7,79.6
11001004400,2010,98030,636300,0,2,31,34.3,83.6,84.4
11001004600,2010,76623,473400,1.8,13.7,12,23.1,89.5,91.5
11001004701,2010,15119,484100,1.8,23.3,83,13.2,95.3,95.3
11001004702,2010,43476,402700,0,9.7,0,27.1,89.3,91.3
11001004801,2010,76618,543200,0,5.3,26,23,86,83.6
11001004802,2010,42244,479800,0,9.1,0,20.2,82.6,85.4
11001004901,2010,52375,875000,0,13.7,79,21.7,93,84.1
11001004902,2010,78482,615600,1,5.4,0,21.8,76,86
11001005001,2010,119643,643100,0,3.6,31,36.3,86.2,88.5
11001005002,2010,73173,471800,0.8,0,14,25.3,66.7,77.1
11001005201,2010,64811,482200,0,0.4,0,31.1,80.5,73.9
11001005301,2010,91638,443600,0,0,58,26.3,83.3,84.7
11001005500,2010,88831,588900,0.4,0.4,26,35.3,75,75.5
11001005600,2010,61806,389000,0.4,0.4,9,25.6,69,69.3
11001005800,2010,119167,474500,0,0,11,34.4,72.1,71.3
11001005900,2010,66790,467000,0,1.3,0,22.6,87.4,84.8
11001006202,2010,NA,NA,NA,NA,NA,NA,NA,NA
11001006400,2010,21191,368500,0,22.8,57,10.5,87.6,89.2
11001006500,2010,113542,746800,1.3,0,36,42.3,86.8,88.7
11001006600,2010,94878,692500,0,0,8,36.1,85.1,83.5
11001006700,2010,141004,778500,0.9,0,25,34.2,88.2,88.1
11001006801,2010,77955,454200,0,8.8,11,27.9,94.8,95.3
11001006802,2010,86719,499600,3,2.9,61,22,90,88
11001006804,2010,NA,NA,NA,NA,65,1.3,92.5,90.9
11001006900,2010,115299,609800,0,2.1,71,24,93.9,93.9
11001007000,2010,92656,564800,1.8,2.7,18,40.6,89.5,86.8
11001007100,2010,29493,442800,2.5,21.4,61,22.7,92.9,89.5
11001007200,2010,47885,354200,2.6,3.2,45,24.1,89,91.6
11001007301,2010,64821,NA,1.2,10,145,23.5,88.9,85.6
11001007304,2010,31856,267400,5.2,26.7,133,8.1,98.2,97.8
11001007401,2010,19238,251900,1.8,34.7,113,8.5,97.3,95.8
11001007403,2010,27333,262500,1.8,30.8,22,2.9,98.6,99.4
11001007404,2010,26250,287200,1,43.9,78,14.1,98.2,99.2
11001007406,2010,27838,325000,1,41.5,51,4.2,98,95
11001007407,2010,36453,250000,14.7,19.1,204,6.8,98.2,98.3
11001007408,2010,17826,825000,0,30,41,1.2,94.9,96.8
11001007409,2010,26636,310000,3.1,26.1,119,4.8,97.9,98
11001007502,2010,31179,314300,7.1,16.6,42,10.5,97.7,97.5
11001007503,2010,31551,265600,4.7,18.9,74,5.5,97.6,97.3
11001007504,2010,20625,217500,4.9,29.8,118,5,95.5,97.5
11001007601,2010,37687,278800,0,8.8,137,9.1,96.9,97.4
11001007603,2010,49744,241700,1.4,14.5,0,16.5,91.8,90.8
11001007604,2010,43968,389700,2.4,6.3,22,12,95.7,97.7
11001007605,2010,42152,255200,0.6,9.1,71,9.2,94.4,96
11001007703,2010,31955,236300,4.4,20.1,120,8.7,96.9,91.9
11001007707,2010,38571,238100,1,19.8,46,9.2,97.7,98.2
11001007708,2010,35534,234700,4.1,25.9,101,7.6,99,98.3
11001007709,2010,25451,238400,0,9.6,22,8.4,94.6,98.2
11001007803,2010,22685,252900,4.2,14.9,58,11.5,98,98.1
11001007804,2010,25208,254900,1.1,19.1,147,4,97.4,96.9
11001007806,2010,42171,260000,8.8,11.9,0,8.8,93.2,92.2
11001007807,2010,27917,279500,4.7,26.2,30,3.4,97.9,96
11001007808,2010,27531,241600,1.9,22.4,153,7.3,93.3,93.6
11001007809,2010,22109,202900,0,28.1,76,6.3,98.7,99.2
11001007901,2010,32692,415000,3.5,19.7,159,11.8,96.2,91.9
11001007903,2010,43304,333000,0,5.7,44,11.3,92.9,94
11001008001,2010,89128,479900,0.7,5.6,52,31.3,93.3,93.7
11001008002,2010,92874,504700,2,5.6,119,21.2,87.4,86.6
11001008100,2010,132321,646100,0.9,1.8,73,30.4,90.6,90.7
11001008200,2010,83214,796600,0,0,26,48.3,91.2,91.4
11001008301,2010,115216,679900,1.8,5.1,19,34.2,88.9,85.8
11001008302,2010,101667,646100,1.8,0,49,38.8,92.4,90.1
11001008402,2010,54683,538800,0,6,10,25.5,94.7,94.4
11001008410,2010,96667,404000,6,12.5,237,23.2,91.9,92.1
11001008701,2010,64464,391400,0,13,61,23,94.1,94.7
11001008702,2010,41232,365400,0,5.8,98,5.2,82.1,89.3
11001008802,2010,38859,357100,1.3,8,71,17.7,94.6,92.5
11001008803,2010,37833,311800,0,12.2,0,14.2,89.5,84
11001008804,2010,25978,246000,5.6,11.2,47,5.1,100,96.9
11001008903,2010,26556,228900,1.6,21.9,0,6.8,97.8,97.6
11001008904,2010,27620,334900,7.5,9.9,87,10.3,93.1,95.3
11001009000,2010,39653,350700,0,1.2,83,9.7,96.7,94.4
11001009102,2010,32806,298700,3.1,26.9,91,8.4,88.1,96.1
11001009201,2010,44939,318600,0,14.1,33,12,84.5,81.4
11001009203,2010,51726,276700,0,9,68,20.5,87.2,88.9
11001009204,2010,28814,195500,5,6.8,0,10.5,90.1,84.3
11001009301,2010,72578,450500,3.1,13.2,9,19.1,91.2,92.1
11001009302,2010,63958,392900,0,10.5,114,18,92.4,93.2
11001009400,2010,70990,394300,0,7.6,0,17.1,90.3,94.8
11001009501,2010,40536,285200,5,9.6,23,9.6,81.5,84.6
11001009503,2010,70875,397700,1.2,5,58,26.4,92.1,91.8
11001009504,2010,50500,338400,0,10.7,18,12.2,88.5,92
11001009505,2010,62462,376900,1.6,14.7,0,19.8,92.2,88.4
11001009507,2010,62986,323000,1.7,7.3,0,22.1,91.1,89.8
11001009508,2010,47410,342500,1.1,4.7,117,20.6,88,89.3
11001009509,2010,59286,314900,3.8,8.7,39,14.6,90.6,93.9
11001009601,2010,40929,335700,2.2,42.3,0,15.3,97.6,98.1
11001009602,2010,24786,213100,0,28.6,62,2.4,98.8,98.8
11001009603,2010,38404,255000,2,12.1,24,11.5,98.4,98.2
11001009604,2010,37441,229300,0,9.6,12,16.1,96.7,93.8
11001009700,2010,31549,257800,0,44,52,8.7,98.8,100
11001009801,2010,31917,276600,0,36.3,62,15.2,98.4,92.6
11001009802,2010,23633,263800,0,20.6,165,6.8,97.3,95.8
11001009803,2010,30625,248300,3.3,12.6,41,7.7,97.7,98.1
11001009804,2010,46554,236100,1.4,22.7,231,6.2,99.3,98
11001009807,2010,42420,253500,4.8,10.3,50,8.4,96.3,97.1
11001009810,2010,26234,176300,0,43,0,2.3,97.5,87.2
11001009811,2010,21713,308300,4.7,27.4,77,4.1,98.2,96
11001009901,2010,76736,428300,0,1.2,23,23.4,98.4,97.2
11001009902,2010,51400,258400,1.3,21.3,71,17.7,97.9,98.9
11001009903,2010,52554,299300,0,21.1,0,16.9,97.8,100
11001009904,2010,35302,232800,7.3,9.2,43,5.1,98.3,99
11001009905,2010,35186,253300,1,19.5,41,5.5,95.5,95.3
11001009906,2010,34269,175800,0,23.5,63,11.3,92.2,92.4
11001009907,2010,26612,210100,4.9,30,0,2.5,98.5,95.6
11001010100,2010,51151,359200,0,0,0,28.4,75,72.3
11001010200,2010,74744,466700,0.9,4.2,28,27.2,87.6,89.8
11001010300,2010,56736,343900,2.3,12.3,0,23.7,81,83.3
11001010400,2010,33500,246800,4.7,16.6,33,5.9,92.7,93.8
11001010500,2010,57052,369900,0.5,3.3,39,33.7,76.6,75.7
11001010600,2010,65122,416700,0,9,62,23.3,86.5,87.1
11001010700,2010,55268,471000,0,0.7,0,38.9,74.8,76.7
11001010800,2010,11375,350000,0,0,3,25.8,87.9,83.1
11001010900,2010,28519,140400,2.9,29.6,87,12.5,97.6,94.1
11001011000,2010,79297,271900,0.6,5,72,23.2,86,85.8
11001011100,2010,55353,354600,1.3,6.6,27,14.6,92.9,93.1
11001000100,2011,136842,1000000,2.5,0.7,121,35.7,77.1,78.4
11001000201,2011,NA,NA,NA,NA,0,12.9,80.4,73.8
11001000202,2011,135893,1000000,0,2.1,21,39.6,85.6,85.9
11001000300,2011,99063,790600,2.1,3.3,14,33.9,84,85.4
11001000400,2011,182578,976000,0,1.7,39,34.6,72.4,69.2
