GEOID,year,median_income_hh,median_house_value,pct_single_father,pct_single_mother,fertility,pct_bachelors,pct_born_us,pct_only_speaks_english
51710000100,2010,36661,288700,0,2.8,19,17.1,87.9,83.8
51710000201,2010,45417,196700,3.1,1.3,45,8.8,78.2,74.3
51710000202,2010,44821,213300,1.9,13.4,82,8.6,91.6,90
51710000300,2010,39805,278100,4.3,7.8,150,19.6,88.2,82.8
51710000400,2010,40808,341700,4.8,8.4,13,12.5,87,89.7
51710000500,2010,45675,237300,5.6,9.3,230,12.3,92.3,82.2
51710000600,2010,40483,189100,1.3,16,61,10.9,92.7,85.8
51710000700,2010,55000,202800,6.6,6.2,14,17.2,93.6,91.4
51710000800,2010,48583,226600,2.5,4,91,19.4,85.5,82.7
51710000901,2010,40578,NA,3.1,25.7,104,8.6,92.6,91.8
51710000902,2010,46346,NA,1.9,6.6,62,14.2,89,90.5
51710001100,2010,33273,162000,0,10.6,82,12.8,82.3,78.7
51710001200,2010,51549,425900,2.6,6.9,11,29.7,86.1,86.6
51710001300,2010,36642,153600,6.9,7.8,23,6.7,92.9,90.2
51710001400,2010,34375,254700,0.9,11.5,47,12.5,86,86.3
51710001500,2010,48542,213900,2.7,1.1,110,22.4,95.2,89.5
51710001600,2010,44917,219500,0,13.1,75,18.5,94.8,96.3
51710001700,2010,38246,337800,0,7.2,47,26.9,90.8,90.1
51710002000,2010,52786,182200,0,2.8,74,8,96.2,95.1
51710002100,2010,118274,559200,2.2,1.6,0,22.4,85.6,83.3
51710002200,2010,77563,386600,0,2.3,23,31.5,93.1,91.4
51710002300,2010,98672,422800,0,2.2,99,34.5,97.1,96.9
51710002400,2010,103125,452300,0,0.9,64,29,96.2,96.3
51710002500,2010,16820,215100,5.4,14.3,39,8.7,95.1,94.8
51710002600,2010,30474,253600,0,6.4,34,21.2,79.9,82.4
51710002700,2010,25932,187500,5.5,14.3,96,4.7,95.7,97.5
51710002800,2010,63031,308900,2.2,4.5,29,23.9,85.7,87.9
51710002900,2010,31250,206300,2.2,14.1,34,5.2,95.7,92.6
51710003000,2010,62524,266800,0.8,6.2,0,20.3,84.4,90.1
51710003100,2010,38239,142300,2.5,7.1,63,3.5,92.5,95.7
51710003200,2010,35000,146500,6.6,19.3,173,7.3,97.5,96.7
51710003300,2010,44181,150200,0,12.8,167,3.6,92.2,90.3
51710003400,2010,25505,118800,0,15.7,0,4.8,96.4,96.4
51710003501,2010,24375,181700,3.8,31.8,153,6.6,98.2,98.3
51710003600,2010,42128,418200,0,5.7,0,32.3,94.9,96.2
51710003700,2010,49950,343400,0,4.5,3,41.9,92.8,92.4
51710003800,2010,65806,371700,0.8,1.8,19,29.6,91.3,89.7
51710004001,2010,75000,323200,1.7,2.8,44,33.5,91.5,88.1
51710004002,2010,49485,452700,0.8,1.9,12,35.4,89.4,89.9
51710004100,2010,10795,NA,0.5,48.7,199,0,100,100
51710004200,2010,13167,420800,0,49.2,84,1.7,100,99.7
51710004300,2010,21786,112500,4.4,18.3,29,9.2,96.9,96.1
51710004400,2010,27500,228800,4,33.9,177,15.3,92.5,91.4
51710004500,2010,56154,228100,1.1,4.3,21,18.4,90.3,97.8
51710004600,2010,26917,140600,2.9,53.2,66,13.6,92,96.9
51710004700,2010,11983,252500,12.5,0,13,6.5,94.7,93
51710004800,2010,9780,NA,3.7,69.3,76,0,95,95
51710004900,2010,66765,359700,0.6,0,17,20.9,95.9,95.3
51710005000,2010,29382,170400,0,8.6,17,12.9,97.7,98.2
51710005100,2010,19836,174200,1.5,37.2,61,4.1,100,99.4
51710005500,2010,39429,157600,4.1,7.9,35,10.3,74.7,77.6
51710005601,2010,51705,222100,8,7.9,45,15.2,91.3,90.1
51710005602,2010,50818,208900,7.6,5.5,35,8.9,94.2,94.4
51710005701,2010,27470,144400,2.7,18.2,96,9.4,82.9,77.3
51710005702,2010,43667,168600,1.3,8.3,0,7.5,97.5,93.8
51710005800,2010,32298,159300,0,17.9,126,8.4,90.6,87.5
51710005901,2010,36578,139400,5.5,21.8,26,8.7,96.6,93.9
51710005902,2010,44693,173600,2.6,15.3,118,12.3,91,89.4
51710005903,2010,39223,169900,4.2,14.7,65,10.4,80.2,86.1
51710006000,2010,44953,183400,0,7.1,110,9.1,89.5,88.5
51710006100,2010,41816,176300,4.5,14,32,11,91.3,91.4
51710006200,2010,50606,171500,1.6,4.7,41,6.3,94.9,95.3
51710006400,2010,48071,242200,1.4,18,60,12.5,91.9,91.7
51710006501,2010,32214,341900,6.3,8.5,108,13.9,93.5,94.4
51710006502,2010,68250,537600,6,6,52,19.9,91.8,92.4
51710006601,2010,46776,317000,0,0,133,13.3,94.6,92.8
51710006602,2010,63727,190200,4.1,5,19,13.7,93,90.6
51710006603,2010,55560,208200,3.8,0.7,52,11.4,95.2,93.1
51710006604,2010,36481,263500,0,11.8,12,11.1,93.8,87.7
51710006605,2010,66296,283700,0.8,12.1,118,19.4,88.6,82.2
51710006606,2010,44713,243000,0,9.4,142,15.1,89.1,89.1
51710006607,2010,56190,209200,0.8,7.9,76,9.6,84.2,87.9
51710006800,2010,61324,189600,0,7.6,0,20.3,88.8,82.1
51710006901,2010,37036,169500,2.9,8.9,43,7.6,94,90.8
51710006902,2010,63646,267500,0,2.8,48,10.9,92.4,89.1
