"GEO_ID","id"
"NAME","Geographic Area Name"
"S2506_C01_001E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage"
"S2506_C01_001M","Margin of Error!!Owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage"
"S2506_C01_002E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!VALUE!!Less than $50,000"
"S2506_C01_002M","Margin of Error!!Owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage!!VALUE!!Less than $50,000"
"S2506_C01_003E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!VALUE!!$50,000 to $99,999"
"S2506_C01_003M","Margin of Error!!Owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage!!VALUE!!$50,000 to $99,999"
"S2506_C01_004E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!VALUE!!$100,000 to $299,999"
"S2506_C01_004M","Margin of Error!!Owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage!!VALUE!!$100,000 to $299,999"
"S2506_C01_005E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!VALUE!!$300,000 to $499,999"
"S2506_C01_005M","Margin of Error!!Owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage!!VALUE!!$300,000 to $499,999"
"S2506_C01_006E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!VALUE!!$500,000 to $749,999"
"S2506_C01_006M","Margin of Error!!Owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage!!VALUE!!$500,000 to $749,999"
"S2506_C01_007E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!VALUE!!$750,000 to $999,999"
"S2506_C01_007M","Margin of Error!!Owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage!!VALUE!!$750,000 to $999,999"
"S2506_C01_008E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!VALUE!!$1,000,000 or more"
"S2506_C01_008M","Margin of Error!!Owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage!!VALUE!!$1,000,000 or more"
"S2506_C01_009E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!VALUE!!Median (dollars)"
"S2506_C01_009M","Margin of Error!!Owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage!!VALUE!!Median (dollars)"
"S2506_C01_010E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!MORTGAGE STATUS!!With either a second mortgage, or home equity loan, but not both"
"S2506_C01_010M","Margin of Error!!Owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage!!MORTGAGE STATUS!!With either a second mortgage, or home equity loan, but not both"
"S2506_C01_011E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!MORTGAGE STATUS!!With either a second mortgage, or home equity loan, but not both!!Second mortgage only"
"S2506_C01_011M","Margin of Error!!Owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage!!MORTGAGE STATUS!!With either a second mortgage, or home equity loan, but not both!!Second mortgage only"
"S2506_C01_012E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!MORTGAGE STATUS!!With either a second mortgage, or home equity loan, but not both!!Home equity loan only"
"S2506_C01_012M","Margin of Error!!Owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage!!MORTGAGE STATUS!!With either a second mortgage, or home equity loan, but not both!!Home equity loan only"
"S2506_C01_013E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!MORTGAGE STATUS!!Both second mortgage and home equity loan"
"S2506_C01_013M","Margin of Error!!Owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage!!MORTGAGE STATUS!!Both second mortgage and home equity loan"
"S2506_C01_014E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!MORTGAGE STATUS!!No second mortgage and no home equity loan"
"S2506_C01_014M","Margin of Error!!Owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage!!MORTGAGE STATUS!!No second mortgage and no home equity loan"
"S2506_C01_015E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Less than $10,000"
"S2506_C01_015M","Margin of Error!!Owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Less than $10,000"
"S2506_C01_016E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!$10,000 to $24,999"
"S2506_C01_016M","Margin of Error!!Owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!$10,000 to $24,999"
"S2506_C01_017E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!$25,000 to $34,999"
"S2506_C01_017M","Margin of Error!!Owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!$25,000 to $34,999"
"S2506_C01_018E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!$35,000 to $49,999"
"S2506_C01_018M","Margin of Error!!Owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!$35,000 to $49,999"
"S2506_C01_019E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!$50,000 to $74,999"
"S2506_C01_019M","Margin of Error!!Owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!$50,000 to $74,999"
"S2506_C01_020E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!$75,000 to $99,999"
"S2506_C01_020M","Margin of Error!!Owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!$75,000 to $99,999"
"S2506_C01_021E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!$100,000 to $149,999"
"S2506_C01_021M","Margin of Error!!Owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!$100,000 to $149,999"
"S2506_C01_022E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!$150,000 or more"
"S2506_C01_022M","Margin of Error!!Owner-occupied housing units with a mortgage MOE!!Owner-occupied housing units with a mortgage!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!$150,000 or more"
"S2506_C01_023E","Estimate!!Owner-occupied housing units with a mortgage!!Owner-occupied housing units with a mortgage!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars)"
